date,product_id,sku,transaction_type,quantity_change,stock_level_after,optimal_stock_level,days_of_supply,inventory_value,supplier,cost_per_unit,lost_sales,stockout_reason
2025-11-16,1,HEA00001,daily_snapshot,0,45,40.0,40.5,982.8,,,,
2025-11-17,1,HEA00001,daily_snapshot,-2,43,40.0,38.699999999999996,939.12,,,,
2025-11-18,1,HEA00001,daily_snapshot,0,43,40.0,38.699999999999996,939.12,,,,
2025-11-19,1,HEA00001,daily_snapshot,0,43,40.0,38.699999999999996,939.12,,,,
2025-11-20,1,HEA00001,daily_snapshot,0,43,40.0,38.699999999999996,939.12,,,,
2025-11-21,1,HEA00001,daily_snapshot,-5,38,40.0,34.199999999999996,829.92,,,,
2025-11-22,1,HEA00001,daily_snapshot,0,38,40.0,34.199999999999996,829.92,,,,
2025-11-23,1,HEA00001,daily_snapshot,0,38,40.0,34.199999999999996,829.92,,,,
2025-11-24,1,HEA00001,daily_snapshot,0,38,40.0,34.199999999999996,829.92,,,,
2025-11-25,1,HEA00001,daily_snapshot,-3,35,40.0,31.5,764.4,,,,
2025-11-26,1,HEA00001,daily_snapshot,-1,34,40.0,30.599999999999998,742.56,,,,
2025-11-27,1,HEA00001,daily_snapshot,-2,32,40.0,28.799999999999997,698.88,,,,
2025-11-28,1,HEA00001,daily_snapshot,0,32,40.0,28.799999999999997,698.88,,,,
2025-11-29,1,HEA00001,daily_snapshot,0,32,40.0,28.799999999999997,698.88,,,,
2025-11-30,1,HEA00001,daily_snapshot,0,32,40.0,28.799999999999997,698.88,,,,
2025-12-01,1,HEA00001,daily_snapshot,-1,31,40.0,27.9,677.04,,,,
2025-12-02,1,HEA00001,daily_snapshot,-2,29,40.0,26.099999999999998,633.36,,,,
2025-12-03,1,HEA00001,daily_snapshot,0,29,40.0,26.099999999999998,633.36,,,,
2025-12-04,1,HEA00001,daily_snapshot,-3,26,40.0,23.4,567.84,,,,
2025-12-05,1,HEA00001,daily_snapshot,-13,13,40.0,11.7,283.92,,,,
2025-12-06,1,HEA00001,daily_snapshot,-4,9,40.0,8.1,196.56,,,,
2025-12-07,1,HEA00001,restock,41,50,,,,Premium Products Ltd,21.84,,
2025-12-07,1,HEA00001,daily_snapshot,0,50,40.0,45.0,1092.0,,,,
2025-12-08,1,HEA00001,daily_snapshot,-4,46,40.0,41.4,1004.64,,,,
2025-12-09,1,HEA00001,daily_snapshot,0,46,40.0,41.4,1004.64,,,,
2025-12-10,1,HEA00001,daily_snapshot,0,46,40.0,41.4,1004.64,,,,
2025-12-11,1,HEA00001,daily_snapshot,-11,35,40.0,31.5,764.4,,,,
2025-12-12,1,HEA00001,daily_snapshot,0,35,40.0,31.5,764.4,,,,
2025-12-13,1,HEA00001,daily_snapshot,0,35,40.0,31.5,764.4,,,,
2025-12-14,1,HEA00001,daily_snapshot,0,35,40.0,31.5,764.4,,,,
2025-12-15,1,HEA00001,daily_snapshot,0,35,40.0,31.5,764.4,,,,
2025-12-16,1,HEA00001,daily_snapshot,0,35,40.0,31.5,764.4,,,,
2025-12-17,1,HEA00001,daily_snapshot,-2,33,40.0,29.7,720.72,,,,
2025-12-18,1,HEA00001,daily_snapshot,0,33,40.0,29.7,720.72,,,,
2025-12-19,1,HEA00001,daily_snapshot,0,33,40.0,29.7,720.72,,,,
2025-12-20,1,HEA00001,daily_snapshot,0,33,40.0,29.7,720.72,,,,
2025-12-21,1,HEA00001,daily_snapshot,0,33,40.0,29.7,720.72,,,,
2025-12-22,1,HEA00001,daily_snapshot,-1,32,40.0,28.799999999999997,698.88,,,,
2025-12-23,1,HEA00001,daily_snapshot,0,32,40.0,28.799999999999997,698.88,,,,
2025-12-24,1,HEA00001,daily_snapshot,0,32,40.0,28.799999999999997,698.88,,,,
2025-12-25,1,HEA00001,daily_snapshot,0,32,40.0,28.799999999999997,698.88,,,,
2025-12-26,1,HEA00001,daily_snapshot,-8,24,40.0,21.599999999999998,524.16,,,,
2025-12-27,1,HEA00001,daily_snapshot,-1,23,40.0,20.7,502.32,,,,
2025-12-28,1,HEA00001,daily_snapshot,-4,19,40.0,17.099999999999998,414.96,,,,
2025-12-29,1,HEA00001,daily_snapshot,-1,18,40.0,16.2,393.12,,,,
2025-12-30,1,HEA00001,daily_snapshot,0,18,40.0,16.2,393.12,,,,
2025-12-31,1,HEA00001,daily_snapshot,-8,10,40.0,9.0,218.4,,,,
2026-01-01,1,HEA00001,restock,42,52,,,,Premium Products Ltd,21.84,,
2026-01-01,1,HEA00001,daily_snapshot,0,52,40.0,46.8,1135.68,,,,
2026-01-02,1,HEA00001,daily_snapshot,0,52,40.0,46.8,1135.68,,,,
2026-01-03,1,HEA00001,daily_snapshot,0,52,40.0,46.8,1135.68,,,,
2026-01-04,1,HEA00001,daily_snapshot,0,52,40.0,46.8,1135.68,,,,
2026-01-05,1,HEA00001,daily_snapshot,0,52,40.0,46.8,1135.68,,,,
2026-01-06,1,HEA00001,daily_snapshot,-2,50,40.0,45.0,1092.0,,,,
2026-01-07,1,HEA00001,daily_snapshot,-1,49,40.0,44.1,1070.16,,,,
2026-01-08,1,HEA00001,daily_snapshot,0,49,40.0,44.1,1070.16,,,,
2026-01-09,1,HEA00001,daily_snapshot,0,49,40.0,44.1,1070.16,,,,
2026-01-10,1,HEA00001,daily_snapshot,0,49,40.0,44.1,1070.16,,,,
2026-01-11,1,HEA00001,daily_snapshot,0,49,40.0,44.1,1070.16,,,,
2026-01-12,1,HEA00001,daily_snapshot,0,49,40.0,44.1,1070.16,,,,
2026-01-13,1,HEA00001,daily_snapshot,0,49,40.0,44.1,1070.16,,,,
2026-01-14,1,HEA00001,daily_snapshot,0,49,40.0,44.1,1070.16,,,,
2026-01-15,1,HEA00001,daily_snapshot,0,49,40.0,44.1,1070.16,,,,
2026-01-16,1,HEA00001,daily_snapshot,-1,48,40.0,43.199999999999996,1048.32,,,,
2026-01-17,1,HEA00001,daily_snapshot,0,48,40.0,43.199999999999996,1048.32,,,,
2026-01-18,1,HEA00001,daily_snapshot,0,48,40.0,43.199999999999996,1048.32,,,,
2026-01-19,1,HEA00001,daily_snapshot,-5,43,40.0,38.699999999999996,939.12,,,,
2026-01-20,1,HEA00001,daily_snapshot,0,43,40.0,38.699999999999996,939.12,,,,
2026-01-21,1,HEA00001,daily_snapshot,0,43,40.0,38.699999999999996,939.12,,,,
2026-01-22,1,HEA00001,daily_snapshot,0,43,40.0,38.699999999999996,939.12,,,,
2026-01-23,1,HEA00001,daily_snapshot,-2,41,40.0,36.9,895.4399999999999,,,,
2026-01-24,1,HEA00001,daily_snapshot,0,41,40.0,36.9,895.4399999999999,,,,
2026-01-25,1,HEA00001,daily_snapshot,-1,40,40.0,36.0,873.6,,,,
2026-01-26,1,HEA00001,daily_snapshot,0,40,40.0,36.0,873.6,,,,
2026-01-27,1,HEA00001,daily_snapshot,-1,39,40.0,35.1,851.76,,,,
2026-01-28,1,HEA00001,daily_snapshot,-5,34,40.0,30.599999999999998,742.56,,,,
2026-01-29,1,HEA00001,daily_snapshot,-1,33,40.0,29.7,720.72,,,,
2026-01-30,1,HEA00001,daily_snapshot,0,33,40.0,29.7,720.72,,,,
2026-01-31,1,HEA00001,daily_snapshot,0,33,40.0,29.7,720.72,,,,
2026-02-01,1,HEA00001,daily_snapshot,0,33,40.0,29.7,720.72,,,,
2026-02-02,1,HEA00001,daily_snapshot,-1,32,40.0,28.799999999999997,698.88,,,,
2026-02-03,1,HEA00001,daily_snapshot,0,32,40.0,28.799999999999997,698.88,,,,
2026-02-04,1,HEA00001,daily_snapshot,0,32,40.0,28.799999999999997,698.88,,,,
2026-02-05,1,HEA00001,daily_snapshot,0,32,40.0,28.799999999999997,698.88,,,,
2026-02-06,1,HEA00001,daily_snapshot,0,32,40.0,28.799999999999997,698.88,,,,
2026-02-07,1,HEA00001,daily_snapshot,0,32,40.0,28.799999999999997,698.88,,,,
2026-02-08,1,HEA00001,daily_snapshot,-2,30,40.0,27.0,655.2,,,,
2026-02-09,1,HEA00001,daily_snapshot,0,30,40.0,27.0,655.2,,,,
2026-02-10,1,HEA00001,daily_snapshot,0,30,40.0,27.0,655.2,,,,
2026-02-11,1,HEA00001,daily_snapshot,-1,29,40.0,26.099999999999998,633.36,,,,
2026-02-12,1,HEA00001,daily_snapshot,-1,28,40.0,25.2,611.52,,,,
2026-02-13,1,HEA00001,daily_snapshot,0,28,40.0,25.2,611.52,,,,
2025-11-16,2,BOO00002,daily_snapshot,-16,39,50.0,35.21142857142858,387.65999999999997,,,,
2025-11-17,2,BOO00002,daily_snapshot,0,39,50.0,35.21142857142858,387.65999999999997,,,,
2025-11-18,2,BOO00002,daily_snapshot,0,39,50.0,35.21142857142858,387.65999999999997,,,,
2025-11-19,2,BOO00002,daily_snapshot,0,39,50.0,35.21142857142858,387.65999999999997,,,,
2025-11-20,2,BOO00002,daily_snapshot,-4,35,50.0,31.6,347.9,,,,
2025-11-21,2,BOO00002,daily_snapshot,0,35,50.0,31.6,347.9,,,,
2025-11-22,2,BOO00002,daily_snapshot,-1,34,50.0,30.69714285714286,337.96,,,,
2025-11-23,2,BOO00002,daily_snapshot,-2,32,50.0,28.891428571428573,318.08,,,,
2025-11-24,2,BOO00002,daily_snapshot,-5,27,50.0,24.37714285714286,268.38,,,,
2025-11-25,2,BOO00002,daily_snapshot,0,27,50.0,24.37714285714286,268.38,,,,
2025-11-26,2,BOO00002,daily_snapshot,-3,24,50.0,21.66857142857143,238.56,,,,
2025-11-27,2,BOO00002,daily_snapshot,-1,23,50.0,20.76571428571429,228.61999999999998,,,,
2025-11-28,2,BOO00002,daily_snapshot,-1,22,50.0,19.862857142857145,218.67999999999998,,,,
2025-11-29,2,BOO00002,daily_snapshot,-15,7,50.0,6.32,69.58,,,,
2025-11-30,2,BOO00002,restock,57,64,,,,Global Supplies Inc,9.94,,
2025-11-30,2,BOO00002,daily_snapshot,0,64,50.0,57.78285714285715,636.16,,,,
2025-12-01,2,BOO00002,daily_snapshot,-2,62,50.0,55.97714285714286,616.28,,,,
2025-12-02,2,BOO00002,daily_snapshot,0,62,50.0,55.97714285714286,616.28,,,,
2025-12-03,2,BOO00002,daily_snapshot,0,62,50.0,55.97714285714286,616.28,,,,
2025-12-04,2,BOO00002,daily_snapshot,0,62,50.0,55.97714285714286,616.28,,,,
2025-12-05,2,BOO00002,daily_snapshot,0,62,50.0,55.97714285714286,616.28,,,,
2025-12-06,2,BOO00002,daily_snapshot,0,62,50.0,55.97714285714286,616.28,,,,
2025-12-07,2,BOO00002,daily_snapshot,0,62,50.0,55.97714285714286,616.28,,,,
2025-12-08,2,BOO00002,daily_snapshot,-7,55,50.0,49.65714285714286,546.6999999999999,,,,
2025-12-09,2,BOO00002,daily_snapshot,-11,44,50.0,39.72571428571429,437.35999999999996,,,,
2025-12-10,2,BOO00002,daily_snapshot,0,44,50.0,39.72571428571429,437.35999999999996,,,,
2025-12-11,2,BOO00002,daily_snapshot,0,44,50.0,39.72571428571429,437.35999999999996,,,,
2025-12-12,2,BOO00002,daily_snapshot,0,44,50.0,39.72571428571429,437.35999999999996,,,,
2025-12-13,2,BOO00002,daily_snapshot,-16,28,50.0,25.28,278.32,,,,
2025-12-14,2,BOO00002,daily_snapshot,-15,13,50.0,11.737142857142858,129.22,,,,
2025-12-15,2,BOO00002,restock,56,69,,,,Global Supplies Inc,9.94,,
2025-12-15,2,BOO00002,daily_snapshot,0,69,50.0,62.29714285714286,685.86,,,,
2025-12-16,2,BOO00002,daily_snapshot,-8,61,50.0,55.07428571428572,606.3399999999999,,,,
2025-12-17,2,BOO00002,daily_snapshot,0,61,50.0,55.07428571428572,606.3399999999999,,,,
2025-12-18,2,BOO00002,daily_snapshot,-6,55,50.0,49.65714285714286,546.6999999999999,,,,
2025-12-19,2,BOO00002,daily_snapshot,-4,51,50.0,46.04571428571429,506.94,,,,
2025-12-20,2,BOO00002,daily_snapshot,0,51,50.0,46.04571428571429,506.94,,,,
2025-12-21,2,BOO00002,daily_snapshot,-5,46,50.0,41.53142857142858,457.23999999999995,,,,
2025-12-22,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2025-12-23,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2025-12-24,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2025-12-25,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2025-12-26,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2025-12-27,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2025-12-28,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2025-12-29,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2025-12-30,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2025-12-31,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2026-01-01,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2026-01-02,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2026-01-03,2,BOO00002,daily_snapshot,0,46,50.0,41.53142857142858,457.23999999999995,,,,
2026-01-04,2,BOO00002,daily_snapshot,-1,45,50.0,40.62857142857143,447.29999999999995,,,,
2026-01-05,2,BOO00002,daily_snapshot,-2,43,50.0,38.822857142857146,427.41999999999996,,,,
2026-01-06,2,BOO00002,daily_snapshot,-1,42,50.0,37.92,417.47999999999996,,,,
2026-01-07,2,BOO00002,daily_snapshot,0,42,50.0,37.92,417.47999999999996,,,,
2026-01-08,2,BOO00002,daily_snapshot,0,42,50.0,37.92,417.47999999999996,,,,
2026-01-09,2,BOO00002,daily_snapshot,0,42,50.0,37.92,417.47999999999996,,,,
2026-01-10,2,BOO00002,daily_snapshot,0,42,50.0,37.92,417.47999999999996,,,,
2026-01-11,2,BOO00002,daily_snapshot,-1,41,50.0,37.01714285714286,407.53999999999996,,,,
2026-01-12,2,BOO00002,daily_snapshot,-1,40,50.0,36.114285714285714,397.59999999999997,,,,
2026-01-13,2,BOO00002,daily_snapshot,-7,33,50.0,29.794285714285717,328.02,,,,
2026-01-14,2,BOO00002,daily_snapshot,0,33,50.0,29.794285714285717,328.02,,,,
2026-01-15,2,BOO00002,daily_snapshot,-4,29,50.0,26.182857142857145,288.26,,,,
2026-01-16,2,BOO00002,daily_snapshot,-4,25,50.0,22.571428571428573,248.5,,,,
2026-01-17,2,BOO00002,daily_snapshot,-5,20,50.0,18.057142857142857,198.79999999999998,,,,
2026-01-18,2,BOO00002,daily_snapshot,0,20,50.0,18.057142857142857,198.79999999999998,,,,
2026-01-19,2,BOO00002,daily_snapshot,0,20,50.0,18.057142857142857,198.79999999999998,,,,
2026-01-20,2,BOO00002,daily_snapshot,-1,19,50.0,17.154285714285717,188.85999999999999,,,,
2026-01-21,2,BOO00002,daily_snapshot,0,19,50.0,17.154285714285717,188.85999999999999,,,,
2026-01-22,2,BOO00002,daily_snapshot,0,19,50.0,17.154285714285717,188.85999999999999,,,,
2026-01-23,2,BOO00002,daily_snapshot,-1,18,50.0,16.251428571428573,178.92,,,,
2026-01-24,2,BOO00002,daily_snapshot,0,18,50.0,16.251428571428573,178.92,,,,
2026-01-25,2,BOO00002,daily_snapshot,0,18,50.0,16.251428571428573,178.92,,,,
2026-01-26,2,BOO00002,daily_snapshot,-8,10,50.0,9.028571428571428,99.39999999999999,,,,
2026-01-27,2,BOO00002,restock,53,63,,,,Global Supplies Inc,9.94,,
2026-01-27,2,BOO00002,daily_snapshot,0,63,50.0,56.88,626.2199999999999,,,,
2026-01-28,2,BOO00002,daily_snapshot,0,63,50.0,56.88,626.2199999999999,,,,
2026-01-29,2,BOO00002,daily_snapshot,-3,60,50.0,54.17142857142858,596.4,,,,
2026-01-30,2,BOO00002,daily_snapshot,-5,55,50.0,49.65714285714286,546.6999999999999,,,,
2026-01-31,2,BOO00002,daily_snapshot,0,55,50.0,49.65714285714286,546.6999999999999,,,,
2026-02-01,2,BOO00002,daily_snapshot,-5,50,50.0,45.142857142857146,497.0,,,,
2026-02-02,2,BOO00002,daily_snapshot,0,50,50.0,45.142857142857146,497.0,,,,
2026-02-03,2,BOO00002,daily_snapshot,0,50,50.0,45.142857142857146,497.0,,,,
2026-02-04,2,BOO00002,daily_snapshot,0,50,50.0,45.142857142857146,497.0,,,,
2026-02-05,2,BOO00002,daily_snapshot,0,50,50.0,45.142857142857146,497.0,,,,
2026-02-06,2,BOO00002,daily_snapshot,-1,49,50.0,44.24,487.06,,,,
2026-02-07,2,BOO00002,daily_snapshot,0,49,50.0,44.24,487.06,,,,
